"","county_name","party","year","candidate","candidatevotes","totalvotes","percent"
"1324","PEPIN","REPUBLICAN",2020,"DONALD J TRUMP",2584,4144,62.3552123552124
"1325","PERKINS","REPUBLICAN",2020,"DONALD J TRUMP",2722,3213,84.7183317771553
"1326","PERQUIMANS","REPUBLICAN",2016,"DONALD TRUMP",4177,6708,62.2689326177698
"1327","PERRY","REPUBLICAN",2016,"DONALD TRUMP",63038,91244,69.0872824514489
"1328","PERSHING","REPUBLICAN",2020,"DONALD J TRUMP",1731,2320,74.6120689655172
"1329","PERSON","REPUBLICAN",2004,"GEORGE W. BUSH",8973,15214,58.9785723675562
"1330","PETERSBURG","DEMOCRAT",2012,"BARACK OBAMA",14283,15908,89.7850138295197
"1331","PETERSBURG CITY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",12389,42399,29.2200287742635
"1332","PETROLEUM","REPUBLICAN",2016,"DONALD TRUMP",278,322,86.3354037267081
"1333","PETTIS","REPUBLICAN",2020,"DONALD J TRUMP",13854,19097,72.5454259831387
"1334","PHELPS","REPUBLICAN",2020,"DONALD J TRUMP",17637,24577,71.762216706677
"1335","PHILADELPHIA","DEMOCRAT",2012,"BARACK OBAMA",588806,690327,85.2937810631773
"1336","PHILLIPS","REPUBLICAN",2016,"DONALD TRUMP",8193,14120,58.0240793201133
"1337","PIATT","REPUBLICAN",2020,"DONALD J TRUMP",6248,9822,63.6122989207901
"1338","PICKAWAY","REPUBLICAN",2020,"DONALD J TRUMP",20593,28271,72.8414276113332
"1339","PICKENS","REPUBLICAN",2016,"DONALD TRUMP",53343,72629,73.4458687301216
"1340","PICKETT","REPUBLICAN",2020,"DONALD J TRUMP",2381,2931,81.2350733538042
"1341","PIERCE","DEMOCRAT",2008,"BARACK OBAMA",196455,363783,54.0033481498586
"1342","PIKE","REPUBLICAN",2016,"DONALD TRUMP",85261,125718,67.8192462495426
"1343","PIMA","DEMOCRAT",2016,"HILLARY CLINTON",224661,421640,53.2826581918224
"1344","PINAL","REPUBLICAN",2012,"MITT ROMNEY",62079,108315,57.3133914970226
"1345","PINE","REPUBLICAN",2020,"DONALD J TRUMP",10256,16001,64.095994000375
"1346","PINELLAS","DEMOCRAT",2008,"BARACK OBAMA",248299,463282,53.5956501655579
"1347","PIPESTONE","REPUBLICAN",2020,"DONALD J TRUMP",3553,4940,71.9230769230769
"1348","PISCATAQUIS","REPUBLICAN",2020,"DONALD J TRUMP",6143,9996,61.4545818327331
"1349","PITKIN","DEMOCRAT",2020,"JOSEPH R BIDEN JR",8989,11957,75.1777201639207
"1350","PITT","DEMOCRAT",2008,"BARACK OBAMA",40501,74884,54.0849847764542
"1351","PITTSBURG","REPUBLICAN",2016,"DONALD TRUMP",12753,17271,73.8405419489317
"1352","PITTSYLVANIA","REPUBLICAN",2016,"DONALD TRUMP",21554,31598,68.2131780492436
"1353","PIUTE","REPUBLICAN",2012,"MITT ROMNEY",697,782,89.1304347826087
"1354","PLACER","REPUBLICAN",2004,"GEORGE W. BUSH",95969,152945,62.7473928536402
"1355","PLAQUEMINES","REPUBLICAN",2020,"DONALD J TRUMP",7412,11014,67.2961685128019
"1356","PLATTE","REPUBLICAN",2004,"GEORGE W. BUSH",37581,60531,62.0855429449373
"1357","PLEASANTS","REPUBLICAN",2020,"DONALD J TRUMP",2742,3491,78.5448295617302
"1358","PLUMAS","REPUBLICAN",2004,"GEORGE W. BUSH",6905,11178,61.7731257827876
"1359","PLYMOUTH","DEMOCRAT",2000,"AL GORE",118875,221695,53.620965741221
"1360","POCAHONTAS","REPUBLICAN",2016,"DONALD TRUMP",5198,7511,69.2051657568899
"1361","POINSETT","REPUBLICAN",2016,"DONALD TRUMP",5502,7722,71.2509712509712
"1362","POINTE COUPEE","REPUBLICAN",2020,"DONALD J TRUMP",7503,12371,60.6499070406596
"1363","POLK","REPUBLICAN",2004,"GEORGE W. BUSH",306946,560048,54.8070879638888
"1364","PONDERA","REPUBLICAN",2020,"DONALD J TRUMP",2031,2995,67.8130217028381
"1365","PONTOTOC","REPUBLICAN",2016,"DONALD TRUMP",20767,27815,74.6611540535682
"1366","POPE","REPUBLICAN",2016,"DONALD TRUMP",21727,31030,70.0193361263294
"1367","POQUOSON","REPUBLICAN",2004,"GEORGE W. BUSH",5004,6480,77.2222222222222
"1368","POQUOSON CITY","REPUBLICAN",2020,"DONALD J TRUMP",5605,23571,23.7792202282466
"1369","PORTAGE","DEMOCRAT",2008,"BARACK OBAMA",66673,117627,56.6817142322766
"1370","PORTER","REPUBLICAN",2004,"GEORGE W. BUSH",34794,64873,53.6340233995653
"1371","PORTSMOUTH","DEMOCRAT",2012,"BARACK OBAMA",32501,45922,70.7743565175733
"1372","PORTSMOUTH CITY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",30948,133803,23.1295262438062
"1373","POSEY","REPUBLICAN",2020,"DONALD J TRUMP",9206,13236,69.5527349652463
"1374","POTTAWATOMIE","REPUBLICAN",2016,"DONALD TRUMP",25460,36145,70.4385115506986
"1375","POTTAWATTAMIE","REPUBLICAN",2004,"GEORGE W. BUSH",24558,41820,58.7230989956958
"1376","POTTER","REPUBLICAN",2004,"GEORGE W. BUSH",28184,38636,72.9475100942126
"1377","POWDER RIVER","REPUBLICAN",2020,"DONALD J TRUMP",970,1136,85.387323943662
"1378","POWELL","REPUBLICAN",2020,"DONALD J TRUMP",6396,8684,73.6526946107784
"1379","POWER","REPUBLICAN",2004,"GEORGE W. BUSH",2105,2958,71.1629479377958
"1380","POWESHIEK","DEMOCRAT",2008,"BARACK OBAMA",5519,10031,55.0194397368159
"1381","POWHATAN","REPUBLICAN",2004,"GEORGE W. BUSH",8955,12163,73.6249280605114
"1382","PRAIRIE","REPUBLICAN",2016,"DONALD TRUMP",3061,4133,74.0624243890636
"1383","PRATT","REPUBLICAN",2020,"DONALD J TRUMP",3108,4137,75.1269035532995
"1384","PREBLE","REPUBLICAN",2020,"DONALD J TRUMP",17022,21809,78.0503461873539
"1385","PRENTISS","REPUBLICAN",2020,"DONALD J TRUMP",8370,10644,78.6358511837655
"1386","PRESIDIO","DEMOCRAT",2008,"BARACK OBAMA",1252,1757,71.2578258394991
"1387","PRESQUE ISLE","REPUBLICAN",2020,"DONALD J TRUMP",5342,8344,64.0220517737296
"1388","PRESTON","REPUBLICAN",2020,"DONALD J TRUMP",11190,14572,76.7911062311282
"1389","PRICE","REPUBLICAN",2020,"DONALD J TRUMP",5394,8546,63.1172478352446
"1390","PRINCE EDWARD","DEMOCRAT",2012,"BARACK OBAMA",5132,9239,55.5471371360537
"1391","PRINCE GEORGE","REPUBLICAN",2004,"GEORGE W. BUSH",8131,13254,61.3475177304965
"1392","PRINCE GEORGE'S","DEMOCRAT",2012,"BARACK OBAMA",347938,387744,89.7339481719898
"1393","PRINCE WILLIAM","DEMOCRAT",2016,"HILLARY CLINTON",113144,196538,57.5685109240961
"1394","PROVIDENCE","DEMOCRAT",2012,"BARACK OBAMA",159520,239789,66.5251533639992
"1395","PROWERS","REPUBLICAN",2020,"DONALD J TRUMP",4008,5561,72.0733680992627
"1396","PUEBLO","DEMOCRAT",2008,"BARACK OBAMA",41097,72427,56.7426512212297
"1397","PULASKI","REPUBLICAN",2004,"GEORGE W. BUSH",112258,215979,51.9763495525028
"1398","PUSHMATAHA","REPUBLICAN",2016,"DONALD TRUMP",3581,4483,79.8795449475797
"1399","PUTNAM","REPUBLICAN",2016,"DONALD TRUMP",121797,182212,66.843566834237
"1400","QUAY","REPUBLICAN",2020,"DONALD J TRUMP",2634,3873,68.009295120062
"1401","QUEEN ANNE'S","REPUBLICAN",2004,"GEORGE W. BUSH",14489,21794,66.4816004404882
"1402","QUEENS","DEMOCRAT",2012,"BARACK OBAMA",461391,595073,77.5351931611752
"1403","QUITMAN","DEMOCRAT",2012,"BARACK OBAMA",3449,5107,67.5347562169571
"1404","RABUN","REPUBLICAN",2016,"DONALD TRUMP",6287,7992,78.6661661661662
"1405","RACINE","DEMOCRAT",2008,"BARACK OBAMA",53408,100642,53.0673078833887
"1406","RADFORD","DEMOCRAT",2008,"BARACK OBAMA",2930,5429,53.9694234665684
"1407","RADFORD CITY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",3358,18960,17.710970464135
"1408","RAINS","REPUBLICAN",2020,"DONALD J TRUMP",5155,6053,85.1643812985297
"1409","RALEIGH","REPUBLICAN",2020,"DONALD J TRUMP",24673,33106,74.5272760224733
"1410","RALLS","REPUBLICAN",2020,"DONALD J TRUMP",4396,5662,77.6404097492052
"1411","RAMSEY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",213259,301349,70.7681127198033
"1412","RANDALL","REPUBLICAN",2012,"MITT ROMNEY",41447,49696,83.4010785576304
"1413","RANDOLPH","REPUBLICAN",2016,"DONALD TRUMP",95613,129877,73.6181156016847
"1414","RANKIN","REPUBLICAN",2000,"GEORGE W. BUSH",32983,41435,79.6017859297695
"1415","RANSOM","REPUBLICAN",2020,"DONALD J TRUMP",1418,2454,57.7832110839446
"1416","RAPIDES","REPUBLICAN",2020,"DONALD J TRUMP",38347,58865,65.1439734986834
"1417","RAPPAHANNOCK","REPUBLICAN",2016,"DONALD TRUMP",2539,4483,56.6361811287085
"1418","RAVALLI","REPUBLICAN",2020,"DONALD J TRUMP",19114,28507,67.0501981969341
"1419","RAWLINS","REPUBLICAN",2012,"MITT ROMNEY",1223,1444,84.6952908587258
"1420","RAY","REPUBLICAN",2020,"DONALD J TRUMP",8345,11649,71.6370503905915
"1421","REAGAN","REPUBLICAN",2020,"DONALD J TRUMP",942,1124,83.8078291814947
"1422","REAL","REPUBLICAN",2020,"DONALD J TRUMP",1643,1982,82.8960645812311
"1423","RED LAKE","REPUBLICAN",2020,"DONALD J TRUMP",1454,2196,66.2112932604736
"1424","RED RIVER","REPUBLICAN",2020,"DONALD J TRUMP",6930,9938,69.7323405111692
"1425","RED WILLOW","REPUBLICAN",2020,"DONALD J TRUMP",4525,5452,82.9970652971387
"1426","REDWOOD","REPUBLICAN",2020,"DONALD J TRUMP",5771,8284,69.6644133268952
"1427","REEVES","REPUBLICAN",2020,"DONALD J TRUMP",2254,3689,61.100569259962
"1428","REFUGIO","REPUBLICAN",2020,"DONALD J TRUMP",2210,3366,65.6565656565657
"1429","RENO","REPUBLICAN",2020,"DONALD J TRUMP",18443,27941,66.0069432017465
"1430","RENSSELAER","DEMOCRAT",2008,"BARACK OBAMA",39753,73986,53.730435487795
"1431","RENVILLE","REPUBLICAN",2020,"DONALD J TRUMP",6532,9447,69.1436434847041
"1432","REPUBLIC","REPUBLICAN",2020,"DONALD J TRUMP",2182,2657,82.1226947685359
"1433","REYNOLDS","REPUBLICAN",2020,"DONALD J TRUMP",2733,3298,82.8684050939964
"1434","RHEA","REPUBLICAN",2020,"DONALD J TRUMP",11050,13637,81.0295519542421
"1435","RICE","REPUBLICAN",2020,"DONALD J TRUMP",20726,40005,51.8085239345082
"1436","RICH","REPUBLICAN",2012,"MITT ROMNEY",915,1007,90.8639523336644
"1437","RICHARDSON","REPUBLICAN",2020,"DONALD J TRUMP",3073,4126,74.4789142026175
"1438","RICHLAND","DEMOCRAT",2008,"BARACK OBAMA",147632,263519,56.0232848485308
"1439","RICHMOND","DEMOCRAT",2012,"BARACK OBAMA",215516,353945,60.8896862506887
"1440","RICHMOND CITY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",92175,333543,27.6351175110855
"1441","RILEY","REPUBLICAN",2004,"GEORGE W. BUSH",12672,20911,60.5996843766439
"1442","RINGGOLD","REPUBLICAN",2016,"DONALD TRUMP",1824,2707,67.3808644255634
"1443","RIO ARRIBA","DEMOCRAT",2008,"BARACK OBAMA",12703,16940,74.9881936245573
"1444","RIO BLANCO","REPUBLICAN",2020,"DONALD J TRUMP",3061,3691,82.9314548902736
"1445","RIO GRANDE","REPUBLICAN",2004,"GEORGE W. BUSH",3448,5523,62.4298388556944
"1446","RIPLEY","REPUBLICAN",2020,"DONALD J TRUMP",16100,19988,80.5483289973984
"1447","RITCHIE","REPUBLICAN",2020,"DONALD J TRUMP",3649,4283,85.1972916180247
"1448","RIVERSIDE","REPUBLICAN",2004,"GEORGE W. BUSH",322473,556882,57.9068815296598
"1449","ROANE","REPUBLICAN",2020,"DONALD J TRUMP",23443,31680,73.9993686868687
"1450","ROANOKE","REPUBLICAN",2004,"GEORGE W. BUSH",47257,82973,56.9546720017355
"1451","ROANOKE CITY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",26773,129969,20.5995275796536
"1452","ROBERTS","REPUBLICAN",2020,"DONALD J TRUMP",2933,4857,60.3870702079473
"1453","ROBERTSON","REPUBLICAN",2020,"DONALD J TRUMP",31066,42962,72.3104138541036
"1454","ROBESON","DEMOCRAT",2000,"AL GORE",17834,29747,59.9522640938582
"1455","ROCK","DEMOCRAT",2008,"BARACK OBAMA",52747,84945,62.0954735417034
"1456","ROCK ISLAND","DEMOCRAT",2008,"BARACK OBAMA",42210,68401,61.7096241283022
"1457","ROCKBRIDGE","REPUBLICAN",2016,"DONALD TRUMP",6680,10795,61.8805002315887
"1458","ROCKCASTLE","REPUBLICAN",2020,"DONALD J TRUMP",6577,7783,84.5046897083387
"1459","ROCKDALE","REPUBLICAN",2000,"GEORGE W. BUSH",15440,24649,62.6394579901822
"1460","ROCKINGHAM","REPUBLICAN",2004,"GEORGE W. BUSH",126646,225370,56.1947020455251
"1461","ROCKLAND","DEMOCRAT",2000,"AL GORE",69530,122580,56.7221406428455
"1462","ROCKWALL","REPUBLICAN",2004,"GEORGE W. BUSH",20120,25581,78.6521246237442
"1463","ROGER MILLS","REPUBLICAN",2016,"DONALD TRUMP",1547,1759,87.9476975554292
"1464","ROGERS","REPUBLICAN",2016,"DONALD TRUMP",30913,40862,75.6521951935784
"1465","ROLETTE","DEMOCRAT",2008,"BARACK OBAMA",3403,4534,75.0551389501544
"1466","ROOKS","REPUBLICAN",2020,"DONALD J TRUMP",2325,2699,86.1430159318266
"1467","ROOSEVELT","REPUBLICAN",2020,"DONALD J TRUMP",6630,10625,62.4
"1468","ROSCOMMON","REPUBLICAN",2020,"DONALD J TRUMP",9670,15018,64.3893993874018
"1469","ROSEAU","REPUBLICAN",2020,"DONALD J TRUMP",6065,8421,72.0223251395321
"1470","ROSEBUD","REPUBLICAN",2020,"DONALD J TRUMP",2486,3773,65.8892128279883
"1471","ROSS","REPUBLICAN",2020,"DONALD J TRUMP",22278,33299,66.9029099972972
"1472","ROUTT","DEMOCRAT",2020,"JOSEPH R BIDEN JR",10582,16876,62.704432329936
"1473","ROWAN","REPUBLICAN",2016,"DONALD TRUMP",47984,73217,65.5366922982367
"1474","RUNNELS","REPUBLICAN",2020,"DONALD J TRUMP",3807,4409,86.3461102290769
"1475","RUSH","REPUBLICAN",2020,"DONALD J TRUMP",7385,9609,76.8550317410761
"1476","RUSK","REPUBLICAN",2020,"DONALD J TRUMP",21791,29263,74.4660492772443
"1477","RUSSELL","REPUBLICAN",2016,"DONALD TRUMP",28168,42869,65.7071543539621
"1478","RUTHERFORD","REPUBLICAN",2004,"GEORGE W. BUSH",68532,109048,62.8457193162644
"1479","RUTLAND","DEMOCRAT",2008,"BARACK OBAMA",19355,31617,61.217066767878
"1480","SABINE","REPUBLICAN",2020,"DONALD J TRUMP",13560,16087,84.2916640765836
"1481","SAC","REPUBLICAN",2016,"DONALD TRUMP",3703,5212,71.0475825019187
"1482","SACRAMENTO","DEMOCRAT",2020,"JOSEPH R BIDEN JR",440808,718440,61.3562719224987
"1483","SAGADAHOC","DEMOCRAT",2008,"BARACK OBAMA",12152,21301,57.0489648373316
"1484","SAGINAW","DEMOCRAT",2008,"BARACK OBAMA",60276,104090,57.9075799788644
"1485","SAGUACHE","DEMOCRAT",2012,"BARACK OBAMA",1864,2930,63.617747440273
"1486","SAINT LOUIS","DEMOCRAT",2004,"JOHN KERRY",77694,119041,65.2665888223385
"1487","SALEM","REPUBLICAN",2016,"DONALD TRUMP",23607,41719,56.5857283252235
"1488","SALEM CITY","REPUBLICAN",2020,"DONALD J TRUMP",7683,39153,19.6230173933032
"1489","SALINE","REPUBLICAN",2016,"DONALD TRUMP",66948,99958,66.9761299745893
"1490","SALT LAKE","REPUBLICAN",2004,"GEORGE W. BUSH",215728,362138,59.5706609082725
"1491","SALUDA","REPUBLICAN",2016,"DONALD TRUMP",5526,8564,64.5259224661373
"1492","SAMPSON","REPUBLICAN",2016,"DONALD TRUMP",14838,25928,57.2277074976859
"1493","SAN AUGUSTINE","REPUBLICAN",2020,"DONALD J TRUMP",3007,4002,75.1374312843578
"1494","SAN BENITO","DEMOCRAT",2020,"JOSEPH R BIDEN JR",17628,28830,61.1446409989594
"1495","SAN BERNARDINO","REPUBLICAN",2004,"GEORGE W. BUSH",289306,522777,55.3402311119273
"1496","SAN DIEGO","DEMOCRAT",2020,"JOSEPH R BIDEN JR",964650,1602143,60.2099812563548
"1497","SAN FRANCISCO","DEMOCRAT",2020,"JOSEPH R BIDEN JR",378156,443553,85.2561024274438
"1498","SAN JACINTO","REPUBLICAN",2020,"DONALD J TRUMP",10161,12640,80.3876582278481
"1499","SAN JOAQUIN","DEMOCRAT",2012,"BARACK OBAMA",114121,204697,55.7511834565235
"1500","SAN JUAN","REPUBLICAN",2004,"GEORGE W. BUSH",36002,60530,59.47794482075
"1501","SAN LUIS OBISPO","DEMOCRAT",2020,"JOSEPH R BIDEN JR",88310,159714,55.2925854965751
"1502","SAN MATEO","DEMOCRAT",2020,"JOSEPH R BIDEN JR",291496,374251,77.8878346350444
"1503","SAN MIGUEL","DEMOCRAT",2008,"BARACK OBAMA",13669,17291,79.0526863686311
"1504","SAN PATRICIO","REPUBLICAN",2020,"DONALD J TRUMP",16516,25891,63.7905063535592
"1505","SAN SABA","REPUBLICAN",2020,"DONALD J TRUMP",2308,2602,88.7009992313605
"1506","SANBORN","REPUBLICAN",2020,"DONALD J TRUMP",905,1185,76.3713080168776
"1507","SANDERS","REPUBLICAN",2020,"DONALD J TRUMP",5660,7622,74.2587247441616
"1508","SANDOVAL","DEMOCRAT",2008,"BARACK OBAMA",32669,58630,55.7206208425721
"1509","SANDUSKY","REPUBLICAN",2020,"DONALD J TRUMP",18896,30074,62.8316818514331
"1510","SANGAMON","REPUBLICAN",2004,"GEORGE W. BUSH",55904,95375,58.6149410222805
"1511","SANILAC","REPUBLICAN",2020,"DONALD J TRUMP",16194,22446,72.1464848970863
"1512","SANPETE","REPUBLICAN",2012,"MITT ROMNEY",8406,9547,88.0486016549702
"1513","SANTA BARBARA","DEMOCRAT",2020,"JOSEPH R BIDEN JR",129963,200339,64.8715427350641
"1514","SANTA CLARA","DEMOCRAT",2016,"HILLARY CLINTON",511684,703709,72.7124422168823
"1515","SANTA CRUZ","DEMOCRAT",2008,"BARACK OBAMA",107428,140786,76.305882687199
"1516","SANTA FE","DEMOCRAT",2008,"BARACK OBAMA",55567,72223,76.9380945128283
"1517","SANTA ROSA","REPUBLICAN",2004,"GEORGE W. BUSH",52059,67307,77.3455955546971
"1518","SARASOTA","REPUBLICAN",2020,"DONALD J TRUMP",148370,270575,54.8350734546799
"1519","SARATOGA","DEMOCRAT",2020,"JOSEPH R BIDEN JR",68471,133556,51.2676330528018
"1520","SARGENT","REPUBLICAN",2020,"DONALD J TRUMP",1266,2070,61.1594202898551
"1521","SARPY","REPUBLICAN",2004,"GEORGE W. BUSH",40163,58334,68.850070284911
"1522","SAUK","DEMOCRAT",2008,"BARACK OBAMA",18617,30626,60.7882191601907
"1523","SAUNDERS","REPUBLICAN",2020,"DONALD J TRUMP",9108,12735,71.5194346289753
"1524","SAWYER","REPUBLICAN",2016,"DONALD TRUMP",5185,9121,56.8468369696305
"1525","SCHENECTADY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",42465,75381,56.3338241732001
"1526","SCHLEICHER","REPUBLICAN",2020,"DONALD J TRUMP",940,1159,81.1044003451251
"1527","SCHLEY","REPUBLICAN",2016,"DONALD TRUMP",1472,1909,77.1084337349398
"1528","SCHOHARIE","REPUBLICAN",2016,"DONALD TRUMP",8831,14050,62.8540925266904
"1529","SCHOOLCRAFT","REPUBLICAN",2020,"DONALD J TRUMP",3090,4745,65.1211801896733
"1530","SCHUYLER","REPUBLICAN",2020,"DONALD J TRUMP",10000,15708,63.6618283677107
"1531","SCHUYLKILL","REPUBLICAN",2016,"DONALD TRUMP",44001,62869,69.9883885539773
"1532","SCIOTO","REPUBLICAN",2020,"DONALD J TRUMP",22609,32047,70.5495054139233
"1533","SCOTLAND","DEMOCRAT",2000,"AL GORE",6417,11582,55.4049386979796
"1534","SCOTT","REPUBLICAN",2016,"DONALD TRUMP",140366,247871,56.6286495798218
"1535","SCOTTS BLUFF","REPUBLICAN",2004,"GEORGE W. BUSH",10378,14390,72.1195274496178
"1536","SCREVEN","REPUBLICAN",2016,"DONALD TRUMP",3305,5715,57.830271216098
"1537","SCURRY","REPUBLICAN",2020,"DONALD J TRUMP",4983,5870,84.8892674616695
"1538","SEARCY","REPUBLICAN",2016,"DONALD TRUMP",2955,3728,79.2650214592275
"1539","SEBASTIAN","REPUBLICAN",2012,"MITT ROMNEY",29169,43362,67.2685761726858
"1540","SEDGWICK","REPUBLICAN",2004,"GEORGE W. BUSH",111352,179039,62.194270522065
"1541","SEMINOLE","REPUBLICAN",2004,"GEORGE W. BUSH",115773,198741,58.253203918668
"1542","SENECA","REPUBLICAN",2020,"DONALD J TRUMP",25415,41528,61.1996725101137
"1543","SEQUATCHIE","REPUBLICAN",2020,"DONALD J TRUMP",5855,7252,80.7363485934914
"1544","SEQUOYAH","REPUBLICAN",2016,"DONALD TRUMP",10888,14437,75.4173304703193
"1545","SEVIER","REPUBLICAN",2012,"MITT ROMNEY",36327,46263,78.5227935931522
"1546","SEWARD","REPUBLICAN",2004,"GEORGE W. BUSH",9625,13004,74.0156874807752
"1547","SHACKELFORD","REPUBLICAN",2016,"DONALD TRUMP",1378,1504,91.6223404255319
"1548","SHANNON","REPUBLICAN",2020,"DONALD J TRUMP",3165,3906,81.0291858678955
"1549","SHARKEY","DEMOCRAT",2012,"BARACK OBAMA",1782,2532,70.3791469194313
"1550","SHARP","REPUBLICAN",2016,"DONALD TRUMP",5407,7249,74.5895985653194
"1551","SHASTA","REPUBLICAN",2004,"GEORGE W. BUSH",52249,77571,67.3563574016063
"1552","SHAWANO","REPUBLICAN",2020,"DONALD J TRUMP",15173,22615,67.0926376298917
"1553","SHAWNEE","REPUBLICAN",2004,"GEORGE W. BUSH",44188,81577,54.1672285080354
"1554","SHEBOYGAN","REPUBLICAN",2020,"DONALD J TRUMP",37609,66011,56.9738376937177
"1555","SHELBY","DEMOCRAT",2008,"BARACK OBAMA",308867,584837,52.8124930536201
"1556","SHENANDOAH","REPUBLICAN",2004,"GEORGE W. BUSH",11820,17146,68.937361483728
"1557","SHERBURNE","REPUBLICAN",2020,"DONALD J TRUMP",36222,55612,65.1334244407682
"1558","SHERIDAN","REPUBLICAN",2020,"DONALD J TRUMP",17508,23505,74.4862795149968
"1559","SHERMAN","REPUBLICAN",2020,"DONALD J TRUMP",5398,6625,81.4792452830189
"1560","SHIAWASSEE","REPUBLICAN",2020,"DONALD J TRUMP",23149,39224,59.0174383030798
"1561","SHOSHONE","REPUBLICAN",2020,"DONALD J TRUMP",4216,6049,69.6974706563068
"1562","SIBLEY","REPUBLICAN",2020,"DONALD J TRUMP",5864,8452,69.380028395646
"1563","SIERRA","REPUBLICAN",2004,"GEORGE W. BUSH",4411,7102,62.1092649957758
"1564","SILVER BOW","DEMOCRAT",2008,"BARACK OBAMA",11676,16969,68.8078260357122
"1565","SIMPSON","REPUBLICAN",2020,"DONALD J TRUMP",13523,20547,65.8149608215311
"1566","SIOUX","REPUBLICAN",2004,"GEORGE W. BUSH",15225,18519,82.2128624655759
"1567","SISKIYOU","REPUBLICAN",2000,"GEORGE W. BUSH",12198,19819,61.5470003531964
"1568","SKAGIT","DEMOCRAT",2008,"BARACK OBAMA",30053,55886,53.7755430698207
"1569","SKAMANIA","REPUBLICAN",2020,"DONALD J TRUMP",3885,7312,53.1318380743983
"1570","SLOPE","REPUBLICAN",2020,"DONALD J TRUMP",380,427,88.9929742388759
"1571","SMITH","REPUBLICAN",2012,"MITT ROMNEY",69499,96810,71.7890713769239
"1572","SMYTH","REPUBLICAN",2016,"DONALD TRUMP",9750,12890,75.6400310318076
"1573","SNOHOMISH","DEMOCRAT",2020,"JOSEPH R BIDEN JR",256728,438796,58.5073701674582
"1574","SNYDER","REPUBLICAN",2020,"DONALD J TRUMP",13983,19140,73.0564263322884
"1575","SOCORRO","DEMOCRAT",2008,"BARACK OBAMA",4696,7895,59.4806839772008
"1576","SOLANO","DEMOCRAT",2020,"JOSEPH R BIDEN JR",131639,205877,63.940605312881
"1577","SOMERSET","REPUBLICAN",2004,"GEORGE W. BUSH",114120,213104,53.5513176664915
"1578","SOMERVELL","REPUBLICAN",2020,"DONALD J TRUMP",4105,4947,82.9795835860117
"1579","SONOMA","DEMOCRAT",2020,"JOSEPH R BIDEN JR",199938,268317,74.5155916322857
"1580","SOUTHAMPTON","REPUBLICAN",2016,"DONALD TRUMP",5035,8878,56.7132236990313
"1581","SPALDING","REPUBLICAN",2004,"GEORGE W. BUSH",13461,21007,64.0786404531823
"1582","SPARTANBURG","REPUBLICAN",2004,"GEORGE W. BUSH",62004,96758,64.0815229748445
"1583","SPENCER","REPUBLICAN",2020,"DONALD J TRUMP",16094,22198,72.5020272096585
"1584","SPINK","REPUBLICAN",2020,"DONALD J TRUMP",2104,3163,66.5191274106861
"1585","SPOKANE","REPUBLICAN",2004,"GEORGE W. BUSH",111606,202587,55.0904056035185
"1586","SPOTSYLVANIA","REPUBLICAN",2004,"GEORGE W. BUSH",28527,45445,62.7725822422709
"1587","ST MARY'S","REPUBLICAN",2020,"DONALD J TRUMP",30826,278325,11.0755411838678
"1588","ST. BERNARD","REPUBLICAN",2008,"JOHN MCCAIN",9642,13540,71.2112259970458
"1589","ST. CHARLES","REPUBLICAN",2016,"DONALD TRUMP",138271,227197,60.8595183915281
"1590","ST. CLAIR","REPUBLICAN",2020,"DONALD J TRUMP",156433,269570,58.0305671996142
"1591","ST. CROIX","REPUBLICAN",2020,"DONALD J TRUMP",32199,56707,56.7813497451814
"1592","ST. FRANCIS","DEMOCRAT",2004,"JOHN KERRY",5684,9588,59.2824363788068
"1593","ST. FRANCOIS","REPUBLICAN",2020,"DONALD J TRUMP",20511,28001,73.2509553230242
"1594","ST. HELENA","DEMOCRAT",2012,"BARACK OBAMA",3780,6394,59.1179230528621
"1595","ST. JAMES","DEMOCRAT",2000,"AL GORE",6523,10705,60.9341429238673
"1596","ST. JOHN THE BAPTIST","DEMOCRAT",2020,"JOSEPH R BIDEN JR",13582,21432,63.3725270623367
"1597","ST. JOHNS","REPUBLICAN",2004,"GEORGE W. BUSH",59196,86290,68.6012284158072
"1598","ST. JOSEPH","DEMOCRAT",2008,"BARACK OBAMA",81032,144091,56.2366837623446
"1599","ST. LANDRY","REPUBLICAN",2020,"DONALD J TRUMP",23171,41154,56.3031540069009
"1600","ST. LAWRENCE","DEMOCRAT",2008,"BARACK OBAMA",23706,41242,57.4802385917269
"1601","ST. LOUIS CITY","DEMOCRAT",2008,"BARACK OBAMA",132925,158858,83.6753578667741
"1602","ST. LOUIS COUNTY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",328151,536446,61.1713014916692
"1603","ST. LUCIE","DEMOCRAT",2008,"BARACK OBAMA",67125,120579,55.6688975692285
"1604","ST. MARTIN","REPUBLICAN",2020,"DONALD J TRUMP",18203,27038,67.3237665507804
"1605","ST. MARY","REPUBLICAN",2020,"DONALD J TRUMP",14811,23186,63.8790649529889
